,estado,poblacion
0,Aguascalientes,1184996
1,Baja California,3155070
2,Baja California Sur,637026
3,Campeche,822441
4,Coahuila,2748391
5,Colima,650555
6,Chiapas,4796580
7,Chihuahua,3406465
8,Ciudad de México,8851080
9,Durango,1632934
10,Guanajuato,5486372
11,Guerrero,3388768
12,Hidalgo,2665018
13,Jalisco,7350682
14,México,15175862
15,Michoacan,4351037
16,Morelos,1777227
17,Nayarit,1084979
18,Nuevo Leon,4653458
19,Oaxaca,3801962
20,Puebla,5779829
21,Queretaro,1827937
22,Quintana Roo,1325578
23,San Luis Potosí,2585518
24,Sinaloa,2767761
25,Sonora,2662480
26,Tabasco,2238603
27,Tamaulipas,3268554
28,Tlaxcala,1169936
29,Veracruz,7643194
30,Yucatán,1955577
31,Zacatecas,1490668
